JAC 2019	Carbon dioxide	Oxalic acid	Acetaldehyde	Ethanol	Acetone	"2,3-Epoxybutane"	Cyclopentane	"Propanal, 2-methyl-"	"Butanal, 3-hydroxy-"	Ethylenediamine	1-Propanol	"Formic acid, ethenyl ester"	"1,2,4-Butanetriol"	Acetohydroxamic acid	"Carbamic acid, methyl ester"	"Silanol, trimethyl-"	2-Butanone	"2-Butanol, (R)-"	"1,3-Butanediol"	"Ethanamine, 2,2'-oxybis-"	Tetrahydrofuran	"Propanoic acid, chloro-2-hydroxy-"	"1-Propanol, 2-methyl-"	"Disiloxane, hexamethyl-"	2-Dimethyl(trimethylsilyl)silyloxytetradecane	Pentane	"Butanal, 3-methyl-"	"Butanal, 2-methyl-"	1-Butanol	"1-Propanol, 2-amino-, (±)-"	"2-Butanone, 3-methyl-"	2-Pentanone	Cyclopentanol	Pentanal	"2,3-Pentanedione"	"Butanoic acid, 3-hydroxy-"	Cystine	(-)-Norephedrine	"Butanoic acid, methyl ester"	"2-Propanol, 1,3-dichloro-"	Acetic acid	"Disulfide, dimethyl"	Methyl Isobutyl Ketone	"1-Butanol, 3-methyl-"	"1-Butanol, 3-methyl-, formate"	"Pentanoic acid, 4-methyl-"	Toluene	"Benzeneethanol, a-methyl-"	"Ethanol, 2-nitro-, propionate (ester)"	2-Octene	1-Pentanol	Propanoic acid	2-Hexanone	"Cyclopropanetetradecanoic acid, 2-octyl-, methyl ester"	"Propanoic acid, 2-methyl-"	"Tricyclo[4.3.1.1(3,8)]undecane-3-carboxylic acid"	"1,1,3,3-Tetramethyl-1,3-bis[(2Z)-pent-2-en-1-yloxy]disiloxane"	2-Pentanol	Butanoic acid	"Trisiloxane, octamethyl-"	1-Hexanol	Ethylbenzene	l-Gala-l-ido-octose	"1,3-Cyclopentadiene, 5-(1-methylethylidene)-"	DL-Arabinose	"Acetic acid, pentyl ester"	Heptanal	"Butanoic acid, 3-methyl-"	"Butanoic acid, 2-methyl-"	Styrene	2-Heptanone	"2-Hexanone, 4-methyl-"	2-Trifluoroacetoxydodecane	Tetraacetyl-d-xylonic nitrile	Pentanoic acid	"Propanedioic acid, propyl-"	"1H-Pyrrole, 2,5-dihydro-1-nitroso-"	"Cyclotetrasiloxane, octamethyl-"	Amphetamine	"Benzene, propyl-"	"Benzene, 1-ethyl-3-methyl-"	"Benzene, 1-ethyl-4-methyl-"	"Benzene, 1,2,4-trimethyl-"	"Benzene, 1,2,3-trimethyl-"	"D-erythro-Pentose, 2-deoxy-"	Decane	"9,12,15-Octadecatrienoic acid, 2-[(trimethylsilyl)oxy]-1-[[(trimethylsilyl)oxy]methyl]ethyl ester, (Z,Z,Z)-"	"Benzene, 1-ethyl-2-methyl-"	"a-D-Glucopyranoside, O-a-D-glucopyranosyl-(1.fwdarw.3)-ß-D-fructofuranosyl"	Dimethyl trisulfide	Benzaldehyde	Succindialdehyde	2-Octanone	"Tetrasiloxane, decamethyl-"	Hexanoic acid	D-Limonene	Mesitylene	"Pentanoic acid, heptyl ester"	3-(Prop-2-enoyloxy)dodecane	"1-Hexanethiol, 2-ethyl-"	"Octane, 4-chloro-"	"3,6-Octadecadiynoic acid, methyl ester"	3-tert-Butyl-5-chloro-2-hydroxybenzophenone	Phenol	Pterin-6-carboxylic acid	2-Hexadecanol	"Octadecane, 1-(ethenyloxy)-"	"Octadecane, 6-methyl-"	Benzeneacetaldehyde	"12,15-Octadecadiynoic acid, methyl ester"	Chlorozotocin	"Benzeneacetamide, a-ethyl-"	"Glycine, N-[(phenylmethoxy)carbonyl]-"	"Benzene, 4-ethyl-1,2-dimethyl-"	"Cyclopentasiloxane, decamethyl-"	Acetophenone	?-Chlorobutyrophenone	"Cyclohexene, 1-methyl-4-(1-methylethylidene)-"	Nonanal	Paromomycin	"9-Octadecen-12-ynoic acid, methyl ester"	Arginine	"Phenol, 3-methyl-"	p-Cresol	"L-Serine, O-(phenylmethyl)-"	"Benzenemethanol, 2-(2-aminopropoxy)-3-methyl-"	N-Benzyloxycarbonyl-dl-norleucine	3-Trifluoroacetoxypentadecane	Decanal	Tridemorph	Glycylsarcosine	N e-Carbobenzyloxy-L-lysine	?-Guanidinobutyric acid	4-Cyclopropylcarbonyloxytridecane	"Benzyl alcohol, p-hydroxy-a-[(methylamino)methyl]-"	"Cyclohexasiloxane, dodecamethyl-"	"Isoquinoline, decahydro-"	Undecanal	Indole	"Butanoic acid, 4,4'-dithiobis[2-amino-, (R*,R*)-(±)-"	"Butanoic acid, 4,4'-dithiobis[2-amino-, [S-(R*,R*)]-"	"Carbamic acid, N-[10,11-dihydro-5-(2-methylamino-1-oxoethyl)-3-5H-dibenzo[b,f]azepinyl]-, ethyl ester"	"9-Tetradecen-1-ol, acetate, (E)-"	1-Monolinoleoylglycerol trimethylsilyl ether	Heptacosane	"1H-Indole, 3-methyl-"	"1H-Indole, 7-methyl-"	"1H-Indole, 2-methyl-"	"1,2-Benzisothiazol-3-amine tbdms"	Gentamicin a	"1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-"	"4-Methoxycarbonylmethylundec-3-enedioic acid, dimethyl ester"	Butylated Hydroxytoluene	"Thieno[2,3-c]furan-3-carbonitrile, 2-amino-4,6-dihydro-4,4,6,6-tetramethyl-"	"1,2-Benzenediol, 3,5-bis(1,1-dimethylethyl)-"	10-Octadecenal	"1,4-Bis(trimethylsilyl)benzene"	"Octadecane, 3-ethyl-5-(2-ethylbutyl)-"	Ethyl iso-allocholate	"Cyclotrisiloxane, hexamethyl-"
F2_D15 150_253.txt	8.54E+07	0	6.70E+07	1.94E+08	2.29E+08	1670530	0	3.87E+07	2222450	1574170	1.48E+08	0	0	0	0	2.43E+08	1.69E+08	5.19E+07	0	0	0	0	1.00E+08	0	0	0	1.54E+08	1.13E+08	2.01E+08	0	6.32E+07	0	0	0	0	0	0	0	3.32E+07	0	2.31E+08	0	0	0	1.70E+08	1.60E+08	0	0	2.82E+08	8645370	0	2.14E+08	0	0	1.60E+08	1.65E+08	0	0	7.19E+08	0	0	0	0	0	0	0	1.33E+07	1.93E+08	0	0	0	0	0	0	2.49E+08	0	0	1.17E+08	6498610	0	2.32E+07	0	1.23E+07	0	1.21E+07	7310840	0	7228220	0	0	0	1940870	0	0	1.56E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9237750	0	0	1.16E+08
F2_D15 151_251.txt	1.04E+08	0	2.36E+08	3.92E+07	3.05E+08	0	1.08E+07	4.10E+07	382324	1.04E+07	1.40E+07	0	0	0	0	7.58E+07	6.30E+07	0	0	0	0	0	0	0	0	0	1.98E+08	9.82E+07	7.54E+07	0	2.25E+07	0	0	1.30E+07	0	0	0	0	8457930	0	3.73E+08	0	0	0	6.66E+07	1.52E+08	0	0	5.34E+07	0	0	0	0	0	3.85E+08	0	0	0	1.24E+09	0	0	0	0	0	0	0	0	3.50E+08	5.04E+08	0	7190490	0	0	0	0	0	0	1.25E+08	8041280	0	1.86E+07	0	0	6397940	7151170	0	0	0	0	0	0	0	0	0	4.18E+08	0	1.08E+07	0	0	0	0	9881410	0	6.10E+07	0	0	0	0	0	0	3691380	0	0	0	4.18E+07	3.49E+07	0	0	0	0	0	0	2.88E+08	0	2.21E+07	0	0	0	1.63E+07	0	0	0	1.07E+07	1.82E+07	0	1.54E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9100690	0	0	2.48E+08
F2_D15 152_284.txt	5.16E+07	0	1.27E+08	3.32E+08	2.52E+08	0	0	4.60E+07	0	0	4.12E+07	0	7596250	0	0	2.32E+08	0	0	0	0	0	0	4.80E+07	0	0	0	8.35E+07	8.21E+07	9.71E+07	0	0	0	0	0	0	1.90E+07	0	0	5.21E+07	0	5.44E+08	0	0	0	0	2.13E+08	0	0	1.67E+08	0	0	1.38E+08	0	0	6.04E+08	0	0	0	3.85E+07	0	0	0	0	0	0	0	0	5.88E+08	7.43E+08	0	0	0	0	3920150	0	0	0	1.98E+08	7114740	0	5.53E+07	0	0	0	2.23E+07	0	582749	0	0	0	1.67E+08	0	0	3.13E+07	1.88E+09	0	2.07E+07	1.18E+07	0	1.09E+07	0	1.55E+07	0	5.29E+07	6745480	1.05E+07	0	0	0	0	0	0	3.56E+07	0	7.61E+07	3.35E+07	0	0	2.30E+07	0	0	0	4.85E+08	0	0	0	0	0	1.24E+07	0	0	0	4118110	2030990	0	2.44E+07	0	0	3.67E+07	0	0	0	0	0	1.44E+07	0	8.86E+07	0	0	0	7579840	0	2.51E+07	524292	0	0	1.66E+07	0	0	2911070
F2_D15 160_231.txt	1.88E+08	0	1.08E+08	4.97E+08	0	0	0	0	3154920	0	1.59E+08	0	0	0	0	4.57E+07	1.09E+08	0	5072750	0	0	0	2.81E+07	0	0	0	8108030	0	2.90E+07	0	0	0	0	0	0	0	0	0	5217390	0	6.12E+08	0	0	1.41E+07	0	1.48E+08	0	0	7565840	0	1.57E+08	5.20E+08	6.71E+07	0	2.59E+08	0	0	0	6.29E+08	0	0	0	0	0	0	0	0	4.10E+08	3.34E+08	0	0	0	0	1846280	3.90E+08	1759380	0	0	0	0	4.59E+07	0	6.90E+07	0	1.21E+07	0	0	0	0	0	0	6710220	0	1.01E+07	5.23E+08	0	1.17E+07	1.46E+07	0	0	0	2.21E+07	0	5.00E+07	0	0	0	0	0	0	0	0	2.43E+07	0	2.74E+07	3.13E+07	0	0	1.25E+07	0	0	0	4.07E+08	0	0	0	0	0	9467640	0	0	0	2435890	1961070	0	9390890	0	0	1.39E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46E+07	294781	0	0	909809	0	0	2.85E+07
F2_D15 161_258.txt	4.67E+07	4.53E+08	1.25E+08	0	3.93E+08	0	0	4.56E+07	0	0	2.35E+08	0	0	0	0	3.16E+08	2.59E+08	4.91E+07	0	0	0	0	0	1.59E+08	0	0	0	0	3.06E+08	0	0	6.31E+07	0	0	0	0	0	0	2.17E+08	0	4.24E+08	0	0	0	0	7.54E+08	0	0	0	3.66E+07	0	0	0	0	2.60E+08	0	0	0	0	0	0	0	0	0	0	0	1.65E+07	2.19E+08	0	0	0	0	0	4916080	0	0	0	2.47E+08	0	1.61E+07	7.01E+07	0	2.57E+07	1.25E+08	0	1.75E+07	0	0	0	0	0	0	2.97E+07	4.14E+07	1.32E+09	0	1.53E+07	5.55E+07	0	1.13E+07	0	3867290	3331120	4.82E+07	4490360	5707860	0	0	0	3.06E+07	0	0	0	0	7.84E+07	0	2.82E+07	0	2.51E+07	0	620540	0	0	1.81E+08	0	0	0	0	1.86E+07	9010180	0	0	0	0	0	2.54E+07	0	0	1.25E+07	0	0	0	0	3567920	0	0	0	0	0	0	6780880	0	0	6267100	0	0	2.20E+07	0	0	2.76E+08
F2_D15 162_186.txt	7.57E+07	0	2.82E+08	7.83E+07	2.73E+08	0	0	2.46E+08	0	4.15E+07	2.65E+07	2884270	0	489071	0	1.55E+08	9.63E+07	2.35E+07	0	0	0	0	0	0	0	0	4.62E+08	4.14E+08	1.49E+08	0	0	0	0	0	0	1.67E+07	0	0	1.31E+08	0	5.47E+08	0	0	0	0	6.89E+08	0	0	6.54E+08	0	0	4.41E+08	0	0	5.99E+08	0	0	0	1.82E+09	0	0	0	0	0	1.59E+07	0	0	4.99E+08	0	0	0	0	0	5913880	4656880	7646770	0	1.21E+08	1.48E+07	0	3.97E+07	0	0	0	2.87E+07	0	9266930	0	0	0	1.82E+08	8467340	0	0	6.77E+08	0	0	0	0	1.85E+07	0	1.79E+07	0	0	1.11E+07	0	0	0	0	0	0	0	0	0	5.74E+07	0	3.38E+07	0	5.08E+07	0	0	0	0	1.75E+08	1.76E+07	0	0	0	1.47E+07	0	0	0	5521100	0	0	3.58E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55E+07	0	0	0	0	0	0	9.43E+07
F2_D15 165_169.txt	1.11E+08	3.41E+08	1.61E+08	5.83E+07	1.08E+08	0	3.34E+07	3.09E+07	1.38E+07	980852	9469230	0	0	0	0	1.10E+08	8.86E+07	6370450	0	0	1.48E+07	0	2.39E+07	0	0	0	2.76E+07	3.07E+07	5.98E+07	0	2.77E+07	0	0	1.50E+07	0	0	0	0	1.07E+07	0	4.07E+08	0	1.10E+08	0	0	4.15E+08	0	0	1.46E+08	0	0	1.13E+08	0	0	3.81E+08	0	0	0	0	0	0	0	0	0	0	0	4.92E+07	3.22E+08	0	0	1.39E+08	0	0	4981830	0	0	0	1.57E+08	1.20E+07	1.88E+07	5.74E+07	4.66E+07	0	3.97E+07	1.32E+07	4.33E+07	0	0	0	0	0	3.72E+07	6.06E+07	4.15E+07	1.09E+09	0	1.68E+08	0	0	0	0	2.27E+07	0	5.76E+07	1.29E+07	0	0	0	0	0	1.04E+07	0	0	0	7.09E+07	0	0	0	1.16E+08	0	1.44E+07	1.19E+07	5.62E+07	0	0	0	0	0	6.17E+07	0	0	0	2.13E+07	1.04E+07	4935350	2.46E+07	0	0	0	1.11E+07	0	0	0	0	1.40E+07	0	0	0	0	0	0	0	3.58E+07	0	0	0	1.96E+07	0	0	1.26E+08
F2_d15 177_294.txt	6.74E+07	2.17E+08	1.62E+07	1.28E+08	8.76E+07	0	1.82E+07	0	1724450	1.25E+07	9.24E+07	0	0	0	0	2.24E+07	5.10E+07	0	0	0	0	0	0	0	0	0	3777710	0	1.72E+07	0	2394020	0	0	0	0	0	0	0	1.34E+07	0	3.09E+08	0	9447870	0	1.19E+07	0	0	0	1.24E+07	0	0	3.43E+08	0	0	8.11E+07	0	0	0	5.52E+08	0	0	0	0	0	0	0	0	1.05E+08	9.30E+07	0	0	0	0	2107990	3.00E+08	0	2339330	8.96E+07	4406290	0	4.03E+07	0	0	0	9974200	0	1.15E+07	0	0	0	0	3821100	0	7298870	8.73E+07	0	8357830	0	0	0	0	1261670	0	2.68E+07	3792310	0	0	0	0	0	0	0	0	0	2.98E+07	1.45E+07	0	0	9698280	0	749525	4158370	0	8.33E+07	5518580	0	0	0	5966060	0	3816270	0	0	5161530	4712150	6704840	0	0	2.16E+07	0	0	0	0	0	0	0	0	1.21E+07	0	0	0	0	2.06E+07	1874740	0	0	2048470	0	0	6473490
F2_D15 183_133.txt	2.89E+07	3.80E+08	1.90E+07	0	7.53E+07	0	0	0	1.50E+07	0	0	0	0	0	0	3.27E+07	0	0	0	0	0	0	0	0	0	0	0	0	1.34E+07	0	0	0	0	7668930	0	0	1356040	0	0	1.03E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8830840	0	0	0	0	0	4316640	0	0	1.11E+07	1.17E+07	4.71E+07	3596680	0	0	0	1.73E+07	0	0	7010390	0	0	0	0	0	5117270	0	0	0	0	0	0	0	0	1.06E+07	7558770	3386240	0	3076600	0	0	0	0	0	0	0	0	0	1.43E+07	0	0	0	0	0	0	0	0	0	0	4581240	0	1.14E+07	0	0	0	0	0	5784630	0	9505950	0	0	0	0	0	2485380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37E+08
F2_D15 VOC 165_64.txt	1.17E+08	2.82E+08	7.39E+07	2.47E+08	6.28E+07	0	8.16E+07	2.20E+07	0	3345300	1.08E+08	0	5792820	0	0	2.18E+08	1.14E+08	0	0	0	1.44E+07	0	0	0	0	0	1.14E+08	6.90E+07	9.70E+07	0	0	4.90E+07	0	0	0	0	0	0	2.09E+08	0	4.53E+08	0	0	0	0	6435430	0	0	2.47E+08	0	0	1.32E+08	6.84E+07	1746140	0	0	0	0	1.40E+09	0	0	0	0	0	0	0	1.68E+07	1.78E+08	0	0	1.12E+08	0	0	7272010	5.06E+08	0	0	2.08E+08	0	3.30E+07	9.16E+07	0	0	5.83E+07	0	7.80E+07	9207960	4.75E+07	0	0	0	0	1.13E+08	6.68E+07	0	0	2.18E+08	3.61E+07	0	0	0	0	0	4.78E+07	8572950	1.25E+07	1.37E+07	0	0	5.38E+07	0	0	0	3.40E+07	1.04E+08	0	0	0	9.84E+07	0	0	1.15E+07	3.66E+07	0	0	0	0	0	1.14E+08	0	0	0	0	0	0	1.20E+08	0	0	0	0	0	0	9272670	0	3.51E+07	0	0	0	0	0	2670450	0	3.42E+07	0	0	0	2.15E+07	0	0	8.11E+07
F2_D15 VOC 175_33.txt	7.11E+07	3.21E+08	1.06E+08	8.96E+07	1.19E+08	0	0	5.24E+07	1.65E+07	5163920	4.25E+07	0	2.41E+07	0	0	4.10E+08	0	0	0	0	0	0	1.90E+08	0	0	0	1.58E+08	1.27E+08	1.08E+08	0	0	0	0	5.33E+07	0	0	0	0	7.77E+07	0	4.64E+08	0	0	0	3.41E+08	6.59E+08	0	0	4.55E+08	0	0	0	0	0	4.79E+08	0	0	0	1.20E+09	0	0	0	0	0	0	0	0	4.31E+08	0	0	0	0	0	6214850	0	0	0	1.09E+08	5860580	0	2.92E+07	0	0	0	3.35E+07	0	6030840	0	0	0	1.17E+08	1.76E+07	0	0	5.80E+08	0	2.04E+07	0	0	0	0	7345720	1.66E+07	4.04E+07	1.09E+07	1.16E+07	1.56E+07	0	0	0	0	0	0	0	5.86E+07	0	3.43E+07	0	3.80E+07	0	0	1.40E+07	4.78E+07	0	0	652963	0	0	1.85E+07	0	0	0	7861800	1.44E+07	0	3.90E+07	0	0	0	3871890	0	0	0	0	2.09E+07	0	0	0	0	0	1.28E+07	0	0	0	0	0	765264	0	0	2.00E+08
F2_D18 150_236.txt	7.89E+07	2.05E+08	2.85E+07	2.45E+08	1.81E+08	1051100	1.23E+07	8917520	3920690	0	4.58E+07	0	0	0	0	1.93E+08	3.16E+08	9.08E+07	1339390	0	0	0	1.11E+08	0	0	0	4.43E+07	2.84E+07	3.23E+08	0	0	0	0	7.83E+07	0	0	0	0	1.44E+07	0	2.13E+08	0	0	2.45E+08	0	0	0	0	0	0	7.74E+08	7.30E+07	0	0	1.29E+08	0	0	7991820	5.42E+08	0	4.16E+07	0	0	0	0	3.21E+07	0	2.60E+08	0	0	0	0	0	0	0	0	3604150	1.13E+08	6036710	9043160	4.82E+07	0	1.22E+08	0	0	8134240	6481180	0	0	0	0	1.60E+08	1.55E+07	1.51E+07	2.11E+08	0	0	7649080	0	0	0	7621910	0	3.55E+07	3364010	0	0	0	0	0	0	0	0	0	4.60E+07	3.03E+07	0	0	1.29E+07	0	0	3136620	0	6.93E+07	7000030	0	0	0	6242010	0	0	0	0	0	0	1.23E+07	0	0	0	0	2089030	0	0	0	0	0	0	0	0	0	0	0	1.59E+07	3478810	0	0	8218880	0	0	1.71E+07
F2_D18 160_167.txt	1.55E+08	0	1.14E+08	2.16E+08	1.38E+08	0	7.22E+07	1.12E+08	4614740	0	1.66E+08	0	0	847555	0	4.10E+08	2.80E+08	4.20E+07	0	0	1.16E+08	0	1.40E+08	0	0	0	1.64E+08	1.23E+08	5.23E+08	0	0	8.95E+07	0	0	0	0	4114570	0	7.05E+07	0	7.37E+07	0	0	0	0	2.86E+07	0	0	5.70E+08	0	0	4.05E+08	1.15E+08	5954230	2.88E+08	0	0	0	1.38E+09	0	0	2.35E+07	0	0	0	0	3.58E+07	4.24E+08	0	0	0	2.13E+08	0	1437680	7.12E+08	0	0	2.09E+08	0	4.63E+07	1.91E+08	0	0	3.33E+08	0	7.84E+07	0	0	0	0	0	0	1.27E+08	4.80E+07	8276510	0	5.96E+07	0	0	1.35E+07	2.52E+07	1.67E+07	0	6.43E+07	1203260	1.19E+07	1.01E+07	0	0	2.32E+07	0	0	0	2.61E+07	8.68E+07	0	0	0	4.67E+07	0	1.15E+07	0	5.38E+07	0	0	0	0	0	1.63E+07	0	0	0	0	8635160	0	4.51E+07	0	0	0	0	0	0	0	2573400	1.31E+07	0	0	0	0	0	1.13E+07	0	2.78E+07	2997540	922151	0	1322890	0	0	1.62E+08
F2_D18 162_175.txt	3.38E+07	3.24E+08	1.32E+08	2.01E+08	1.53E+08	1.56E+07	5.54E+07	4.72E+07	2.55E+07	2109340	5.70E+07	0	0	0	0	1.78E+08	1.40E+08	0	0	0	0	0	2.02E+07	0	0	0	4.44E+07	3.12E+07	1.11E+08	0	0	4.93E+07	0	0	0	0	0	0	1.49E+08	0	2.95E+08	0	1.62E+08	0	1.31E+08	4612200	6.17E+07	0	1.08E+08	0	0	1.24E+08	5.20E+07	0	0	0	0	0	9.13E+08	0	0	0	0	0	0	0	0	2.36E+08	0	0	1.11E+08	0	0	4337840	4.69E+08	0	0	2.19E+08	2.01E+07	2.90E+07	8.59E+07	0	0	6.51E+07	1.90E+07	6.90E+07	0	0	0	0	0	0	8.87E+07	4.54E+07	6.06E+07	0	2.05E+08	1.69E+07	0	3.91E+07	0	1.64E+07	9837610	7.20E+07	4065280	0	0	0	0	7519130	0	0	0	2.54E+07	9.65E+07	0	0	0	4.45E+07	9155720	0	1.42E+07	4.26E+07	0	0	0	0	0	8492280	0	0	0	1.68E+07	0	0	3.34E+07	0	0	0	1.28E+07	0	0	0	0	0	0	0	0	0	0	0	0	2.41E+07	1325500	0	0	0	0	0	1.09E+08
F2_D18 163_152.txt	9.16E+07	3.28E+08	2.70E+07	0	4.82E+08	1.04E+07	3.32E+07	0	1.29E+07	1645540	0	0	0	0	0	0	6.04E+08	0	0	0	0	0	0	0	1235540	0	1784570	0	0	0	2.40E+07	0	8210440	0	0	0	4295200	0	0	0	1.80E+08	4.81E+08	0	0	0	0	3.28E+07	0	0	0	0	1.46E+08	3.48E+07	0	4.45E+07	0	7.01E+07	0	1.86E+08	1.42E+07	0	0	0	0	0	0	0	0	0	1.00E+08	9.17E+07	0	0	0	6.62E+07	0	0	1.22E+08	0	2.08E+07	6.51E+07	0	6.43E+07	1.50E+08	0	3.70E+07	0	0	0	8.16E+07	0	0	5.73E+07	2.09E+07	0	0	0	0	3993360	0	0	7125310	0	6.02E+07	7387670	0	1.52E+07	0	0	6564870	0	0	0	1.65E+07	8.29E+07	0	0	0	0	0	8305180	0	4.79E+07	0	0	0	0	0	2.10E+07	0	0	0	0	0	0	5.06E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9510350	0	0	3285070	0	0	856116	0	0	6.29E+07
F2_D18 164_123.txt	6.59E+07	4.32E+08	0	0	1.03E+08	0	5.54E+07	0	0	0	0	0	0	1030700	3362010	1.61E+08	2.12E+08	3.35E+07	1254130	0	5.37E+07	0	1.24E+08	0	0	0	7.88E+07	0	5.36E+07	0	0	0	0	0	0	0	0	0	1.17E+08	0	5.36E+08	0	0	0	6.34E+08	0	0	0	3.96E+08	0	0	5.03E+08	0	0	9.73E+07	0	0	0	1.21E+09	0	0	0	0	0	0	0	0	1.59E+08	0	1.24E+08	9.26E+07	0	0	0	4.55E+08	0	0	1.86E+08	0	2.47E+07	7.44E+07	0	0	1.61E+08	1.09E+07	6.20E+07	9202710	0	0	0	0	5.68E+07	6.43E+07	3.42E+07	1.40E+08	0	3.49E+07	0	0	0	0	2.80E+07	0	5.37E+07	0	0	0	0	0	1.00E+07	0	0	0	1.82E+07	7.65E+07	0	0	0	2.67E+07	0	0	1865090	2.58E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31E+08
F2_D18 169_199.txt	8.57E+07	2.16E+08	2.15E+07	2.04E+08	2.24E+08	376978	0	1.59E+07	8657920	0	3.44E+07	0	0	0	0	0	7.79E+07	4270790	0	0	0	0	6.96E+07	0	0	1.86E+07	6.39E+07	6.08E+07	1.27E+08	0	3.14E+07	0	0	0	0	0	1355720	0	0	0	3.04E+08	0	0	2.08E+07	0	1.50E+08	0	0	0	0	1.03E+08	2.61E+08	0	0	2.16E+08	0	0	1.39E+08	7.85E+08	0	0	0	0	0	0	0	0	1.73E+08	0	0	4.94E+07	0	0	1659980	2.09E+08	0	0	9.02E+07	7073460	9754130	4.89E+07	1.25E+08	0	1.43E+07	3108330	9849560	5714700	0	0	0	0	2.25E+08	1.70E+07	1.37E+07	2.38E+07	0	1.10E+07	0	0	7360920	0	7153120	0	5.35E+07	3184050	0	7148910	0	0	1.95E+07	0	0	0	0	4.06E+07	3.22E+07	0	0	1.27E+07	8394100	8635330	0	0	1.13E+08	8325350	0	0	0	6596710	0	0	0	3304420	0	0	1.42E+07	0	0	6929080	0	0	0	0	0	0	2.25E+07	0	0	0	0	3831350	0	9853670	1429740	0	0	0	0	0	4109380
F2_D18 172_145.txt	7.79E+07	2.82E+08	1.25E+07	0	2.60E+08	1648900	2.82E+07	0	8240970	830787	0	0	0	0	0	8.30E+07	3.96E+08	8.74E+07	8738740	0	0	0	7529340	0	0	0	0	0	0	2616540	6590660	3.66E+07	8787630	0	0	0	0	0	0	0	1.19E+08	7.56E+07	2.87E+07	5.69E+07	0	0	0	0	0	0	0	6.88E+07	2.85E+07	0	1.95E+07	0	0	0	1.10E+08	1.02E+07	0	0	0	0	0	0	0	0	0	6.50E+07	6.78E+07	0	0	2746780	4.37E+07	0	0	6.81E+07	0	1.13E+07	4.11E+07	2.52E+07	0	9.30E+07	0	2.21E+07	0	0	2794620	0	0	5201350	3.94E+07	1.06E+07	0	0	1.81E+07	0	0	0	0	5651350	0	3.67E+07	4773780	0	1.35E+07	0	0	4806820	0	0	0	1.01E+07	5.18E+07	0	5.61E+07	0	9054470	0	0	4400730	0	0	0	0	0	0	6087330	0	0	0	0	0	4196130	1.69E+07	0	0	0	0	0	2933870	4955690	0	0	0	0	1.66E+07	0	0	4460370	0	0	1189060	0	0	0	0	0	2252690
F2_D18 175_108.txt	7.07E+07	3.22E+08	1.95E+07	0	1.30E+08	1.44E+07	2.89E+07	0	2.14E+07	0	0	2511940	0	0	0	0	4.50E+08	0	9.66E+07	0	0	0	5197120	0	0	0	0	0	0	0	0	2.62E+07	7223560	0	0	0	0	0	0	2874790	1.49E+08	0	2.13E+07	1.71E+07	0	0	2.20E+07	0	0	0	0	1.10E+08	2.97E+07	0	5.08E+07	0	0	6002090	1.90E+08	2.56E+07	0	0	0	0	1865470	0	0	8.92E+07	0	4.77E+07	0	0	0	0	8.10E+07	0	0	9.69E+07	1.65E+07	1.54E+07	5.11E+07	3.51E+07	0	2.82E+07	0	3.87E+07	0	0	0	0	0	0	4.90E+07	0	0	0	1.44E+08	0	2927700	0	0	5903060	0	4.39E+07	7798540	0	1.34E+07	0	0	0	0	0	0	0	4.97E+07	0	5.73E+07	0	6.30E+07	0	0	7910410	4.28E+07	0	0	220216	0	0	6.33E+07	0	0	0	0	0	0	1.66E+07	0	5654870	0	0	0	2290290	1.09E+07	0	1.01E+07	0	0	2.26E+07	0	0	9616620	0	1.25E+07	3412250	1261680	0	931503	0	0	6.36E+07
